set_name	genes	gene_set
Mono	CTSS,FCN1,NEAT1,LYZ,PSAP,S100A9,AIF1,MNDA,SERPINA1,TYROBP
CD4 T	IL7R,MAL,LTB,CD4,LDHB,TPT1,TRAC,TMSB10,CD3D,CD3G
CD8 T	CD8B,CD8A,CD3D,TMSB10,HCST,CD3G,LINC02446,CTSW,CD3E,TRAC
NK	NKG7,KLRD1,TYROBP,GNLY,FCER1G,PRF1,CD247,KLRF1,CST7,GZMB
B	CD79A,RALGPS2,CD79B,MS4A1,BANK1,CD74,TNFRSF13C,HLA-DQA1,IGHM,MEF2C
other T	CD3D,TRDC,GZMK,KLRB1,NKG7,TRGC2,CST7,LYAR,KLRG1,GZMA
DC	CD74,HLAD1,HLAD1,HLA-DQA1,CCDC88A,HLA-DRA,HLA-DMA,CST3,HLA-DQB1,HLA-DRB1
genes_stress	GIMAP7,NFKBIZ,PPP1R15A,HES4,HSPD1,IL1B,NFKBIA,GADD45B,JUND,DUSP1,CD69,FOSB,JUN
T_cytotoxic	CD8B,CD8A,CD3D,CD3E,IL7R,ITK,BCL11B
resting_CD4	IL7R,GIMAP7,SARAF
early_activation_CD4	CD69,MIR155HG,DDX21
activated_CD4	HLA-DRA,ALDOC,LGALS1
